Name,Team,Position,Cost,Creativity,Influence,Threat,ICT,Goals_conceded,Goals_scored,Assists,Own_goals,Penalties_missed,Penalties_saved,Saves,Yellow_cards,Red_cards,TSB,Minutes,Bonus,Points
Kiko Femenia,WAT,DEF,45,0.1,2.2,0,0.2,0,0,0,0,0,0,0,0,0,0.5,3,0,1
King,BOU,FWD,65,19.3,5,22,4.6,0,0,0,0,0,0,0,0,0,7.8,90,0,2
Klaassen,EVE,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Klavan,LIV,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Knockaert,BHA,MID,55,4.4,9.4,22,3.6,2,0,0,0,0,0,0,0,0,0.5,90,0,2
Kolasinac,ARS,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
Kompany,MCI,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
Kongolo,HUD,DEF,45,4.3,15.2,0,2,3,0,0,0,0,0,0,1,0,0.3,90,0,0
Koscielny,ARS,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Kouyate,CRY,MID,50,0,5,17,2.2,0,0,0,0,0,0,0,0,0,0.6,2,0,1
Kovacic,CHE,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Lacazette,ARS,FWD,95,0.5,0,5,0.2,1,0,0,0,0,0,0,0,0,4.3,36,0,1
Lallana,LIV,MID,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Lamela,TOT,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Lanzini,WHU,MID,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laporte,MCI,DEF,55,1.3,14.2,37,5.3,0,0,0,0,0,0,0,0,0,1.4,90,0,6
Lascelles,NEW,DEF,50,0.5,14.8,6,2.1,2,0,0,0,0,0,0,0,0,8.7,90,0,1
Le Marchand,FUL,DEF,45,1.1,23.4,2,2.7,2,0,0,0,0,0,0,0,0,0.3,90,0,1
Lejeune,NEW,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemina,SOU,MID,50,8.8,7.8,53,7,0,0,0,0,0,0,0,0,0,0.2,90,0,3
Lennon,BUR,MID,50,12.3,10,17,3.9,0,0,0,0,0,0,0,0,0,0.3,90,0,3
Leno,ARS,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0
Lerma,BOU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Lewis Cook,BOU,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Lichtsteiner,ARS,DEF,50,5.8,1,2,0.9,1,0,0,0,0,0,0,0,0,2.5,55,0,1
Lindegaard,BUR,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Lindelof,MUN,DEF,50,0.5,25.2,0,2.6,1,0,0,0,0,0,0,0,0,1.4,90,0,2
Lingard,MUN,MID,70,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0
Llorente,TOT,FWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Lloris,TOT,GKP,55,0,16.4,0,1.6,1,0,0,0,0,0,1,0,0,8.4,90,0,2
Locadia,BHA,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Loftus-Cheek,CHE,MID,55,1.3,2.2,0,0.4,0,0,0,0,0,0,0,0,0,1.2,22,0,1
Long,SOU,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0
Long,BUR,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Lookman,EVE,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Lovren,LIV,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0,0,0
Lowton,BUR,DEF,50,6.8,11,1,1.9,0,0,0,0,0,0,0,0,0,1,90,0,6
Lucas,WHU,FWD,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Lucas Moura,TOT,MID,70,3.2,5,20,2.8,1,0,0,0,0,0,0,0,0,2.3,67,0,2
Lukaku,MUN,FWD,110,0.5,4,17,2.2,1,0,0,0,0,0,0,0,0,7.8,23,0,1
Lossl,HUD,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Lowe,HUD,DEF,45,15.8,7.6,0,2.3,2,0,0,0,0,0,0,0,0,0.2,70,0,1
Maddison,LEI,MID,65,13.8,8.2,29,5.1,1,0,0,0,0,0,0,0,0,0.9,62,0,2
Madine,CAR,FWD,45,0,2,0,0.2,1,0,0,0,0,0,0,0,0,1.3,2,0,1
Maguire,LEI,DEF,55,1.6,10.6,2,1.4,2,0,0,0,0,0,0,0,0,16.6,90,0,1
Mahrez,MCI,MID,90,20.6,6,17,4.4,0,0,0,0,0,0,0,0,0,5.2,59,0,1
Maitland-Niles,ARS,MID,45,10.3,10.8,0,2.1,1,0,0,0,0,0,0,0,0,0.7,34,0,1
Malone,HUD,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0
Manquillo,NEW,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mane,LIV,MID,95,29.3,77,79,18.5,0,2,0,0,0,0,0,0,0,18.4,81,3,16
March,BHA,MID,50,14.3,3.2,2,2,2,0,0,0,0,0,0,0,0,0.1,70,0,2
Mariappa,WAT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Martial,MUN,MID,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Martina,EVE,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Masina,WAT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Masuaku,WHU,MID,45,0.7,21,0,2.2,4,0,0,0,0,0,0,0,0,2.4,90,0,2
Mata,MUN,MID,65,28.8,27,3,5.9,1,0,1,0,0,0,0,0,0,2.4,90,0,5
Matic,MUN,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Matip,LIV,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mavropanos,ARS,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mawson,FUL,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Mbemba,NEW,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mbenza,HUD,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McArthur,CRY,MID,50,12.4,14.2,2,2.9,0,0,0,0,0,0,0,0,0,1.7,90,0,3
McCarthy,EVE,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McCarthy,SOU,GKP,45,0,46,0,4.6,0,0,0,0,0,0,6,0,0,1,90,3,11
McDonald,FUL,MID,45,6.3,17.8,8,3.2,2,0,0,0,0,0,0,1,0,0.4,90,0,1
McQueen,SOU,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0,0
McTominay,MUN,MID,45,0.6,0.4,2,0.3,1,0,0,0,0,0,0,0,0,0.9,14,0,1
Mee,BUR,DEF,50,10.8,34.4,6,5.1,0,0,0,0,0,0,0,0,0,4.9,90,2,8
Mendez-Laing,CAR,MID,50,0.9,3.6,13,1.8,1,0,0,0,0,0,0,0,0,0.1,62,0,2
Mendy,MCI,DEF,60,28,56.8,29,11.4,0,0,2,0,0,0,0,0,0,11.5,90,3,15
Merino,NEW,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meyer,CRY,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Mignolet,LIV,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Milivojevic,CRY,MID,65,34.6,16.8,0,5.1,0,0,0,0,0,0,0,0,0,9.3,90,0,3
Milner,LIV,MID,55,54.4,33.6,12,10,0,0,1,0,0,0,0,0,0,0.5,90,0,6
Mina,EVE,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0
Mings,BOU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mir,WOL,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mirallas,EVE,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miranda,WOL,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Mitrovic,FUL,FWD,65,4.2,7.2,66,7.7,2,0,0,0,0,0,0,0,0,6.2,90,0,2
Mkhitaryan,ARS,MID,70,22.3,16.6,42,8.1,2,0,0,0,0,0,0,0,0,13.4,90,0,2
Monreal,ARS,DEF,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Montoya,BHA,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Mooy,HUD,MID,55,18.2,20.2,0,3.8,3,0,0,0,0,0,0,0,0,3.9,90,0,2
Morata,CHE,FWD,90,6.9,2,40,4.9,0,0,0,0,0,0,0,0,0,3.2,90,0,2
Moreno,LIV,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Morgan,LEI,DEF,45,1,18.6,0,2,2,0,0,0,0,0,0,0,0,1.6,90,0,1
Morrison,CAR,DEF,50,10.6,28.2,41,8,2,0,0,0,0,0,0,0,0,0.6,90,0,1
Moses,CHE,DEF,60,10.8,1.2,0,1.2,0,0,0,0,0,0,0,0,0,4.3,9,0,1
Mounie,HUD,FWD,60,2.8,1,11,1.5,3,0,0,0,0,0,0,0,0,0.3,90,0,2
Mousset,BOU,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1,0,1
Moutinho,WOL,MID,55,8.3,8.6,1,1.8,2,0,0,0,0,0,0,0,0,1.8,84,0,2
Murphy,CAR,MID,50,20.6,4.4,22,4.7,1,0,0,0,0,0,0,0,0,0.3,27,0,1
Murphy,NEW,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Murray,BHA,FWD,65,1.8,3.6,6,1.1,2,0,0,0,0,0,0,0,0,0.8,90,0,2
Mustafi,ARS,DEF,55,0.2,29.4,17,4.7,2,0,0,0,0,0,0,0,0,1.5,90,0,1
Muto,NEW,FWD,60,0.3,3,37,4,0,0,0,0,0,0,0,0,0,0.1,9,0,1
Navarro,WAT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ndidi,LEI,MID,50,15.3,19.2,15,5,2,0,0,0,0,0,0,0,0,0.8,90,0,2
Nelson,ARS,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Neves,WOL,MID,50,27.8,60.6,16,10.4,2,1,1,0,0,0,0,0,0,17.3,90,2,12
Niasse,EVE,FWD,55,0.5,0.6,2,0.3,0,0,0,0,0,0,0,0,0,1,9,0,1
Nkoudou,TOT,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noble,WHU,MID,50,1.5,7,0,0.9,4,0,0,0,0,0,0,0,0,0.5,90,0,2
Norris,WOL,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
Obiang,WHU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0
Odoi,FUL,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ogbonna,WHU,DEF,45,13.2,20,2,3.5,4,0,0,0,0,0,0,0,0,1,90,0,0
Okaka,WAT,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okazaki,LEI,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Oriol Romeu,SOU,MID,45,4.1,17.4,10,3.2,0,0,0,0,0,0,0,0,0,3,90,0,3
Otamendi,MCI,DEF,65,0,0,0,0,0,0,0,0,0,0,0,0,0,8.5,0,0,0
Oxford,WHU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Paterson,CAR,MID,55,11.3,7.4,18,3.7,1,0,0,0,0,0,0,0,0,0.2,62,0,2
Patricio,WOL,GKP,45,0,21.8,0,2.2,2,0,0,0,0,0,3,0,0,6.4,90,0,2
Pedro,CHE,MID,65,19.4,42.6,21,8.3,0,1,0,0,0,0,0,0,0,2.5,80,1,9
Peltier,CAR,DEF,40,1,10.8,0,1.2,2,0,0,0,0,0,0,1,0,4.1,90,0,0
Pereira,MUN,MID,50,5.8,22.2,0,2.8,1,0,0,0,0,0,0,1,0,0.7,90,0,1
Pereira,LEI,DEF,50,24.3,17.6,16,5.8,2,0,1,0,0,0,0,0,0,1.6,90,0,4
Pereyra,WAT,MID,60,14.5,73.6,66,15.4,0,2,0,0,0,0,0,0,0,2.4,86,3,16
Pickford,EVE,GKP,50,0,15,0,1.5,2,0,0,0,0,0,2,0,0,21,90,0,1
Pilkington,CAR,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Pogba,MUN,MID,80,9.9,56.8,24,9.1,0,1,0,0,0,0,0,0,0,11.3,83,2,10
Pope,BUR,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Pritchard,HUD,MID,50,4.8,7,11,2.3,2,0,0,0,0,0,0,0,0,0.1,45,0,1
Prodl,WAT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Propper,BHA,MID,50,1.5,12,9,2.3,2,0,0,0,0,0,0,0,0,0.2,90,0,2
Pugh,BOU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Puncheon,CRY,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0
Perez,NEW,FWD,65,13.1,15.6,17,4.6,2,0,0,0,0,0,0,0,0,3,80,0,2
Quaner,HUD,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0
Quina,WAT,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ralls,CAR,MID,50,15.9,16.4,8,4,2,0,0,0,0,0,0,0,0,0.3,90,0,2
Ramsey,ARS,MID,75,10.8,9.4,9,2.9,1,0,0,0,0,0,0,0,0,1.4,53,0,1
Rashford,MUN,FWD,70,5.8,11,0,1.7,0,0,0,0,0,0,0,0,0,11.3,66,0,2
Ream,FUL,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Redmond,SOU,MID,55,13.4,10,38,6.1,0,0,0,0,0,0,0,0,0,0.5,90,0,3
Reid,WHU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reid,CAR,FWD,55,25.8,8,35,6.9,1,0,0,0,0,0,0,0,0,0.7,87,0,2
Rice,WHU,DEF,45,0.6,3,0,0.4,2,0,0,0,0,0,0,0,0,0.3,45,0,0
Richarlison,EVE,MID,65,5.6,78.2,56,14,2,2,0,0,0,0,0,1,0,20.5,85,3,14
Rico,FUL,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Rico,BOU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riedewald,CRY,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ritchie,NEW,MID,60,36.7,21.4,9,6.7,2,0,1,0,0,0,0,0,0,1.1,68,0,5
Robertson,LIV,DEF,60,30.3,32.2,10,7.3,0,0,1,0,0,0,0,0,0,15.8,90,2,11
Rojo,MUN,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Romero,MUN,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Rondon,NEW,FWD,60,0.5,0,26,2.5,0,0,0,0,0,0,0,0,0,1.6,31,0,1
Rose,TOT,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
Ruddy,WOL,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Ryan,BHA,GKP,45,0,22.8,0,2.3,2,0,0,0,0,0,3,0,0,5.3,90,0,2
Rudiger,CHE,DEF,60,11.9,20.6,21,5.4,0,0,0,0,0,0,0,0,0,3.1,90,3,9
Sabiri,HUD,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Sakho,CRY,DEF,50,0.1,18.6,0,1.9,0,0,0,0,0,0,0,0,0,1.6,90,1,7
Sako,CRY,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salah,LIV,MID,130,29,47.6,92,16.9,0,1,0,0,0,0,0,0,0,54.4,86,0,8
Sandro,EVE,FWD,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Sane,MCI,MID,95,11.1,0,1,1.2,0,0,0,0,0,0,0,0,0,13.5,3,0,1
Saiss,WOL,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Schelotto,BHA,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
Schindler,HUD,DEF,45,0.2,20.2,0,2,3,0,0,0,0,0,0,1,0,3.3,90,0,0
Schlupp,CRY,DEF,45,1.4,42.6,19,6.3,0,1,0,0,0,0,0,1,0,1.4,90,0,11
Schmeichel,LEI,GKP,50,0,25.6,4,3,2,0,0,0,0,0,4,0,0,5.4,90,0,2
Schneiderlin,EVE,MID,45,4.4,11.8,0,1.6,2,0,0,0,0,0,0,0,0,2.6,90,0,2
Schar,NEW,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Schurrle,FUL,MID,60,22.2,3.6,4,3,1,0,0,0,0,0,0,0,0,6.4,60,0,2
Sema,WAT,MID,50,0.8,2.2,0,0.3,0,0,0,0,0,0,0,0,0,0.1,9,0,1
Seri,FUL,MID,55,23.1,27,8,5.8,2,0,0,0,0,0,0,0,0,2,81,0,2
Sessegnon,FUL,MID,65,18.6,14.2,25,5.8,2,0,0,0,0,0,0,0,0,9.5,90,0,2
Shaqiri,LIV,MID,75,1.9,0.4,0,0.2,0,0,0,0,0,0,0,0,0,7.2,8,0,1
Shaw,MUN,DEF,50,14.5,60.8,36,11.1,1,1,0,0,0,0,0,0,0,7,90,3,11
Shelvey,NEW,MID,55,31.8,11.4,0,4.3,2,0,0,0,0,0,0,0,0,1.2,90,0,2
Sigurdsson,EVE,MID,75,1.5,0,2,0.2,0,0,0,0,0,0,0,0,0,2.2,43,0,1
Silva,LEI,MID,50,6.2,10.8,0,1.7,1,0,0,0,0,0,0,0,0,0.3,79,0,2
Simpson,LEI,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Simpson,BOU,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0
Sims,SOU,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Sinclair,WAT,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Sissoko,TOT,MID,50,7.1,10.6,17,3.5,1,0,0,0,0,0,0,0,0,0.1,90,0,2
Smalling,MUN,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,0,0
Smith,HUD,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Smithies,CAR,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Snodgrass,WHU,MID,55,5.4,7,0,1.2,2,0,0,0,0,0,0,0,0,0.2,45,0,1
Sobhi,HUD,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
Sokratis,ARS,DEF,55,10.3,16.6,0,2.7,2,0,0,0,0,0,0,1,0,2.7,90,0,0
Solanke,LIV,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Son,TOT,MID,85,1,8,2,1.1,0,0,0,0,0,0,0,0,0,6.1,10,0,1
Souare,CRY,DEF,45,0.1,1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,1,0,1
Speroni,CRY,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1,0,0,0
Stanislas,BOU,MID,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Stankovic,HUD,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steele,BHA,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
Stekelenburg,EVE,GKP,40,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0
Stephens,BHA,MID,45,11.8,21.8,4,3.8,2,0,0,0,0,0,0,1,0,11.2,90,0,1
Stephens,SOU,DEF,45,12.1,27.2,33,7.2,0,0,0,0,0,0,0,0,0,0.3,90,0,6
Sterling,MCI,MID,110,17.8,38.2,52,10.8,0,1,0,0,0,0,0,1,0,2.4,86,0,7
Steve Cook,BOU,DEF,45,1,23.2,2,2.6,0,0,0,0,0,0,0,0,0,1.4,90,0,6
Stones,MCI,DEF,55,0.3,13.6,0,1.4,0,0,0,0,0,0,0,0,0,9.7,90,2,8
Sturridge,LIV,FWD,60,2.5,35,50,8.8,0,1,0,0,0,0,0,0,0,1.2,3,0,5
Success,WAT,FWD,45,23.2,4.4,0,2.8,0,0,0,0,0,0,0,0,0,0.2,16,0,1
Surman,BOU,MID,50,3.6,8.8,3,1.5,0,0,0,0,0,0,0,0,0,0.4,90,0,3
Suttner,BHA,DEF,40,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,0,0,0
Sanchez,MUN,MID,105,45.9,13.8,22,8.2,1,0,1,0,0,0,0,0,0,9.6,90,0,5
Sanchez,TOT,DEF,60,11.4,35.6,15,6.2,1,0,1,0,0,0,0,0,0,2.8,90,0,5
Soyuncu,LEI,DEF,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Sorloth,CRY,FWD,50,10.3,2.2,2,1.5,0,0,0,0,0,0,0,0,0,0.3,7,0,1
Targett,SOU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Tarkowski,BUR,DEF,50,10.5,50.8,6,6.7,0,0,0,0,0,0,0,0,0,9.8,90,1,7
Taylor,BUR,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,3,0,1
Tomkins,CRY,DEF,45,0.4,27.2,21,4.9,0,0,0,0,0,0,0,0,0,8.8,90,0,6
Torreira,ARS,MID,50,0.6,3.8,0,0.4,0,0,0,0,0,0,0,0,0,2,20,0,1
Tosun,EVE,FWD,70,17.2,25,11,5.3,2,0,1,0,0,0,0,0,0,6.6,80,0,5
Townsend,CRY,MID,60,17.5,27.6,18,6.3,0,0,0,0,0,0,0,0,0,2.4,87,0,3
Traore,WOL,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0
Trippier,TOT,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8,0,0,0
Valencia,MUN,DEF,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0
Vardy,LEI,FWD,90,14.5,35,41,9.1,1,1,0,0,0,0,0,0,0,6.5,27,1,6
Vertonghen,TOT,DEF,60,1.3,73.8,33,10.8,1,1,0,0,0,0,0,0,0,10.2,90,3,11
Vestergaard,SOU,DEF,50,10.5,30.4,6,4.7,0,0,0,0,0,0,0,0,0,0.6,90,0,6
Vietto,FUL,FWD,55,24.6,7.4,4,3.6,1,0,0,0,0,0,0,0,0,0.5,19,0,1
Vinagre,WOL,DEF,45,1.2,2.2,0,0.3,0,0,0,0,0,0,0,0,0,0.2,14,0,1
Vlasic,EVE,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vokes,BUR,FWD,55,0,0,4,0.2,0,0,0,0,0,0,0,0,0,1.2,17,0,1
Vorm,TOT,GKP,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Vydra,BUR,FWD,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Walcott,EVE,MID,65,2.3,6.2,4,1.3,2,0,0,0,0,0,0,0,0,2,90,0,2
Walker,MCI,DEF,65,1.9,11.8,2,1.6,0,0,0,0,0,0,0,0,0,12.4,90,1,7
Walker-Peters,TOT,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Walters,BUR,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Wan-Bissaka,CRY,DEF,40,14,46,0,6,0,0,1,0,0,0,0,0,0,17.3,90,3,12
Wanyama,TOT,MID,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ward,BUR,DEF,50,3.4,19.8,19,4.2,0,0,0,0,0,0,0,0,0,2.6,90,0,6
Ward,CAR,MID,45,1.1,0,0,0.1,1,0,0,0,0,0,0,0,0,0.3,28,0,1
Ward,CRY,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0
Ward,LEI,GKP,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Ward-Prowse,SOU,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0
Welbeck,ARS,FWD,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Wells,BUR,FWD,45,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0
Westwood,BUR,MID,45,25.3,15.4,9,5,0,0,0,0,0,0,0,0,0,0.4,90,0,3
Wickham,CRY,FWD,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
Wijnaldum,LIV,MID,55,5.4,3.8,13,2.2,0,0,0,0,0,0,0,0,0,0.7,90,0,3
Williams,EVE,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Williams,HUD,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willian,CHE,MID,75,48.3,26.4,22,9.7,0,0,1,0,0,0,0,0,0,9.2,75,0,6
Wilshere,WHU,MID,50,3.8,12.8,0,1.7,4,0,0,0,0,0,0,0,0,5,90,0,2
Wilson,BOU,FWD,60,20.2,58.6,103,18.2,0,1,1,0,1,0,0,0,0,4.6,90,1,8
Winks,TOT,MID,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wood,BUR,FWD,65,2.8,5.8,52,6.1,0,0,0,0,0,0,0,0,0,0.5,72,0,2
Xhaka,ARS,MID,55,1.3,8.8,0,1,2,0,0,0,0,0,0,1,0,4.6,69,0,1
Yarmolenko,WHU,MID,70,0.8,1.4,0,0.2,1,0,0,0,0,0,0,0,0,1.1,23,0,1
Yedlin,NEW,DEF,45,1.2,6,1,0.8,2,0,0,0,0,0,0,0,0,1.6,90,0,1
Yoshida,SOU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
Young,MUN,DEF,60,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0
Zabaleta,WHU,DEF,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0
Zaha,CRY,FWD,70,8.3,37.4,52,9.8,0,1,0,0,0,0,0,1,0,31.5,90,0,5
Zambo Anguissa,FUL,MID,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
